#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU11	GS|100.0|BOLD:AAB6098_KR581879;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Pentatomidae,g:Cosmopepla,s:Cosmopepla bimaculata	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Pentatomidae,g:Cosmopepla,s:Cosmopepla bimaculata	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Pentatomidae,g:Cosmopepla,s:Cosmopepla bimaculata	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU12	GS|100.0|BOLD:ABW0282_MG093213;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU13	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU14	GS|100.0|BOLD:AAW5223_MG167275;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Miridae,g:Neolygus,s:Neolygus caryae	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Miridae,g:Neolygus,s:Neolygus caryae	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Miridae,g:Neolygus,s:Neolygus caryae	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera
OTU15	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU16	GS|100.0|BOLD:AAF8337_KR395153;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tipulidae,g:Tipula,s:Tipula fuliginosa	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tipulidae,g:Tipula,s:Tipula fuliginosa	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU17	GS|100.0|BOLD:ADN7184_MG168446;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Stratiomyidae,g:Allognosta,s:Allognosta fuscitarsis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Stratiomyidae,g:Allognosta,s:Allognosta fuscitarsis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU18	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera	No hit	k:Animalia	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera
OTU19	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	No hit	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU20	GS|100.0|BOLD:AAU6544_KR772234;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Ormosia,s:Ormosia affinis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Ormosia,s:Ormosia affinis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Ormosia,s:Ormosia affinis	k:Animalia,p:Chordata,c:Actinopterygii,o:Cypriniformes
OTU21	US|1.0000|None;k:Animalia,p:Chordata,c:Actinopterygii,o:Pleuronectiformes	No hit	k:Animalia	k:Animalia,p:Chordata,c:Actinopterygii,o:Pleuronectiformes
OTU22	GS|100.0|BOLD:AAF9851_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Empididae,g:Rhamphomyia	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Empididae,g:Rhamphomyia	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU23	GS|100.0|BOLD:AAK8834_KR392800;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Metalimnobia,s:Metalimnobia triocellata	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Metalimnobia,s:Metalimnobia triocellata	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Metalimnobia,s:Metalimnobia triocellata	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU24	GS|100.0|BOLD:AAY3988_KR971257;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Pilaria,s:Pilaria tenuipes	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Pilaria,s:Pilaria tenuipes	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Pilaria,s:Pilaria tenuipes	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU25	GS|100.0|BOLD:AAC7162_GU712511;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Hexatoma,s:Hexatoma spinosa	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Hexatoma,s:Hexatoma spinosa	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Hexatoma,s:Hexatoma spinosa	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU26	GSL|100.0|BOLD:AAP2568_KR564484;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Gerridae,g:Gerris,s:Gerris marginatus	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Gerridae,g:Gerris	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Gerridae,g:Gerris,s:Gerris marginatus	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU27	GS|100.0|BOLD:AAA5803_KR563568;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Miridae,g:Lygus,s:Lygus lineolaris	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Miridae,g:Lygus,s:Lygus lineolaris	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Miridae	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU28	GS|100.0|BOLD:AAP6384_MG295431;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Psychodidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Psychodidae	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU29	US|1.0000|None;k:Animalia,p:Chordata,c:Actinopterygii,o:Zeiformes	No hit	k:Animalia	k:Animalia,p:Chordata,c:Actinopterygii,o:Zeiformes
OTU30	GS|100.0|BOLD:AAF9772_KR388456;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Hybotidae,g:Platypalpus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Hybotidae,g:Platypalpus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Hybotidae,g:Platypalpus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU31	GS|100.0|BOLD:AAG7276_KM903479;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Sphaeroceridae,g:Leptocera,s:Leptocera erythrocera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Sphaeroceridae,g:Leptocera,s:Leptocera erythrocera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Sphaeroceridae,g:Leptocera,s:Leptocera erythrocera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU32	US|1.0000|None;k:Animalia,p:Arthropoda,c:Arachnida,o:Sarcoptiformes	No hit	k:Animalia	k:Animalia,p:Arthropoda,c:Arachnida,o:Sarcoptiformes
OTU33	GS|100.0|BOLD:AAH0434_KR119377;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Elateridae,g:Dolerosomus,s:Dolerosomus silaceus	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Elateridae,g:Dolerosomus,s:Dolerosomus silaceus	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Elateridae,g:Dolerosomus,s:Dolerosomus silaceus	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU34	GS|99.7|BOLD:AAZ3930_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU35	US|1.0000|BOLD:AAN4488_KP845857;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera	k:Animalia,p:Arthropoda,c:Insecta,o:Thysanoptera,f:Phlaeothripidae,g:Haplothrips,s:Haplothrips tenuipennis	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU36	GS|100.0|BOLD:AAG2162_MG166445;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tachinidae,g:Platymya,s:Platymya confusionis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tachinidae,g:Platymya,s:Platymya confusionis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tachinidae,g:Platymya,s:Platymya confusionis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU37	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU38	GS|100.0|BOLD:AAH3037_JF876553;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Calliphoridae,g:Protocalliphora,s:Protocalliphora tundrae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Calliphoridae,g:Protocalliphora,s:Protocalliphora tundrae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Calliphoridae,g:Protocalliphora,s:Protocalliphora avium	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU39	GS|100.0|BOLD:AAF9768_JN291573;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Hybotidae,g:Platypalpus,s:Platypalpus holosericus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Hybotidae,g:Platypalpus,s:Platypalpus holosericus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Hybotidae,g:Platypalpus,s:Platypalpus holosericus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU40	GS|100.0|BOLD:AAJ3982_KJ962796;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Hydrophilidae,g:Sphaeridium,s:Sphaeridium lunatum	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Hydrophilidae,g:Sphaeridium,s:Sphaeridium lunatum	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Hydrophilidae,g:Sphaeridium,s:Sphaeridium lunatum	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU41	US|1.0000|BOLD:ABU9890_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Ormosia,s:Ormosia fascipennis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU42	GS|100.0|BOLD:ACP3905_KR774427;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Dicranomyia,s:Dicranomyia ponojensis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Dicranomyia,s:Dicranomyia ponojensis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU43	GS|100.0|BOLD:AAZ3920_MG168022;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tachinidae,g:Patelloa,s:Patelloa pachypyga	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tachinidae,g:Patelloa,s:Patelloa pachypyga	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tachinidae,g:Patelloa,s:Patelloa pachypyga	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU44	US|1.0000|BOLD:AAF9785_KR395915;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Empididae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU45	US|1.0000|None;k:Animalia,p:Arthropoda,c:Arachnida,o:Trombidiformes	No hit	k:Animalia	k:Animalia,p:Arthropoda,c:Arachnida,o:Trombidiformes
OTU46	GS|100.0|BOLD:AAA8959_JQ909700;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Andrenidae,g:Andrena,s:Andrena wilkella	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Andrenidae,g:Andrena,s:Andrena wilkella	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Andrenidae,g:Andrena,s:Andrena wilkella	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU47	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU48	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Trichoptera	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Trichoptera
OTU49	US|1.0000|None;k:Animalia,p:Chordata,c:Actinopterygii,o:Myctophiformes	No hit	k:Animalia,p:Chordata	k:Animalia,p:Chordata,c:Actinopterygii,o:Myctophiformes
OTU50	US|1.0000|BOLD:ABX3168_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Cicadellidae	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU51	GS|100.0|BOLD:ACL8570_MG409713;k:Animalia,p:Arthropoda,c:Arachnida,o:Mesostigmata,f:Macronyssidae,g:Ornithonyssus,s:Ornithonyssus sylviarum	k:Animalia,p:Arthropoda,c:Arachnida,o:Mesostigmata,f:Macronyssidae,g:Ornithonyssus,s:Ornithonyssus sylviarum	k:Animalia,p:Arthropoda,c:Arachnida,o:Mesostigmata,f:Macronyssidae,g:Ornithonyssus,s:Ornithonyssus sylviarum	k:Animalia,p:Arthropoda,c:Arachnida,o:Mesostigmata
OTU52	GS|100.0|BOLD:ACZ2228_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Pteromalidae	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Pteromalidae	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Pteromalidae	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU53	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera	No hit	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU54	US|1.0000|BOLD:ACI3495_KR683361;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Anthomyiidae,g:Delia	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU55	GS|100.0|BOLD:AAF8971_JN294694;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU56	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	No hit	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU57	GS|100.0|BOLD:AAE6821_KT250490;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Buprestidae,g:Agrilus,s:Agrilus planipennis	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Buprestidae,g:Agrilus,s:Agrilus planipennis	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Buprestidae,g:Agrilus,s:Agrilus planipennis	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU58	US|1.0000|BOLD:ABX3078_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Ceratopogonidae,g:Culicoides,s:Culicoides schultzei	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU59	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU60	GS|100.0|BOLD:ABA5768_KR578158;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Miridae,g:Macrolophus,s:Macrolophus tenuicornis	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Miridae,g:Macrolophus,s:Macrolophus tenuicornis	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Miridae,g:Dicyphus,s:Dicyphus famelicus	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU61	GS|98.3|BOLD:AAF9008_MG092075;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Helius,s:Helius flavipes	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Helius,s:Helius flavipes	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Helius,s:Helius flavipes	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU62	GS|100.0|BOLD:AAG5647_KR672663;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Rhagionidae,g:Symphoromyia,s:Symphoromyia fulvipes	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Rhagionidae,g:Symphoromyia,s:Symphoromyia fulvipes	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Rhagionidae,g:Symphoromyia,s:Symphoromyia fulvipes	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU63	SS|0.9200|BOLD:ADD2492_MG413489;k:Animalia,p:Arthropoda,c:Arachnida,o:Mesostigmata,f:Dermanyssidae,g:Dermanyssus,s:Dermanyssus hirundinis	k:Animalia,p:Arthropoda,c:Arachnida,o:Mesostigmata,f:Dermanyssidae,g:Dermanyssus,s:Dermanyssus hirundinis	k:Animalia,p:Arthropoda,c:Arachnida,o:Mesostigmata,f:Dermanyssidae,g:Dermanyssus,s:Dermanyssus hirundinis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU64	GS|100.0|BOLD:ACP8116_KR762154;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Cecidomyiidae,g:Asphondylia	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Cecidomyiidae,g:Asphondylia	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU65	US|1.0000|BOLD:AAL7864_KR979137;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Sciaridae,g:Corynoptera,s:Corynoptera trepida	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU66	GS|100.0|BOLD:AAH0069_KR490203;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Nitidulidae,g:Fabogethes,s:Fabogethes nigrescens	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Nitidulidae,g:Fabogethes,s:Fabogethes nigrescens	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Nitidulidae,g:Fabogethes,s:Fabogethes nigrescens	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU67	US|1.0000|BOLD:ACZ8885_MG416288;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Arachnida,o:Mesostigmata,f:Polyaspididae	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU68	GS|100.0|BOLD:AAA6397_KR380391;k:Animalia,p:Arthropoda,c:Insecta,o:Plecoptera,f:Chloroperlidae,g:Haploperla,s:Haploperla brevis	k:Animalia,p:Arthropoda,c:Insecta,o:Plecoptera,f:Chloroperlidae,g:Haploperla,s:Haploperla brevis	k:Animalia,p:Arthropoda,c:Insecta,o:Plecoptera,f:Chloroperlidae,g:Haploperla,s:Haploperla brevis	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU69	US|1.0000|BOLD:ABV4843_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Gonomyia,s:Gonomyia dentata	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU70	GS|99.7|BOLD:AAI4397_JF286653;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Antocha	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Antocha	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Antocha	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU71	GS|99.0|BOLD:ACM7822_KR722892;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Cecidomyiidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Cecidomyiidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Cecidomyiidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU72	GS|100.0|BOLD:ABW1518_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Ceratopogonidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Ceratopogonidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU73	GS|100.0|BOLD:AAG5512_MF726532;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU74	US|1.0000|BOLD:AAN4488_KP845857;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera	k:Animalia,p:Arthropoda,c:Insecta,o:Thysanoptera,f:Phlaeothripidae,g:Haplothrips,s:Haplothrips tenuipennis	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU75	US|1.0000|None;k:Animalia,p:Arthropoda,c:Arachnida,o:Trombidiformes	No hit	k:Animalia	k:Animalia,p:Arthropoda,c:Arachnida,o:Trombidiformes
