sampleID	parental_investment_proj	band	species	location	site	nest	year	age	sex	experiment	treatment	capture_date	cap_doy	cap_num	age	mass	bhead	fwing	sseries_type	cort1_raw	cort1_correct	glucose1	buty	cort2_raw	cort2_correct	glucose2	inject1_type	inject1_dose	inject2_type	inject2_dose	cort3_raw	cort3_correct	glucose3	fate	micro_nb	blood_nb	bolus_nb	lifetag_nb	Notes
cap4p4p1pd6	yes	(4-4) 1	TRES		Gut_passage	Captive	2019	Nestling				6/12/19	163		6																								
cap12p4p2pd6	yes	(12-4) 2	TRES		Gut_passage	Captive	2019	Nestling				6/12/19	163		6																								
cap22p4p3pd6	yes	(22-4) 3	TRES		Gut_passage	Captive	2019	Nestling				6/12/19	163		6																								
cap34p4p4pd6	yes	(34-4) 4	TRES		Gut_passage	Captive	2019	Nestling				6/14/19	165		6																								
cap64p4p5pd6	yes	(64-4) 5	TRES		Gut_passage	Captive	2019	Nestling				6/14/19	165		6																								
cap4p4p1pd7	yes	(4-4) 1	TRES		Gut_passage	Captive	2019	Nestling				6/13/19	164		7																								
cap12p4p2pd7	yes	(12-4) 2	TRES		Gut_passage	Captive	2019	Nestling				6/13/19	164		7																								
cap22p4p3pd7	yes	(22-4) 3	TRES		Gut_passage	Captive	2019	Nestling				6/13/19	164		7																								
cap34p4p4pd7	yes	(34-4) 4	TRES		Gut_passage	Captive	2019	Nestling				6/15/19	166		7																								
cap64p4p5pd7	yes	(64-4) 5	TRES		Gut_passage	Captive	2019	Nestling				6/15/19	166		7																								
cap4p4p1pd8	yes	(4-4) 1	TRES		Gut_passage	Captive	2019	Nestling				6/14/19	165		8																								
cap12p4p2pd8	yes	(12-4) 2	TRES		Gut_passage	Captive	2019	Nestling				6/14/19	165		8																								
cap22p4p3pd8	yes	(22-4) 3	TRES		Gut_passage	Captive	2019	Nestling				6/14/19	165		8																								
cap34p4p4pd8	yes	(34-4) 4	TRES		Gut_passage	Captive	2019	Nestling				6/16/19	167		8																								
cap64p4p5pd8	yes	(64-4) 5	TRES		Gut_passage	Captive	2019	Nestling				6/16/19	167		8																								
cap4p4p1pd9	yes	(4-4) 1	TRES		Gut_passage	Captive	2019	Nestling				6/15/19	166		9																								
cap12p4p2pd9	yes	(12-4) 2	TRES		Gut_passage	Captive	2019	Nestling				6/15/19	166		9																								
cap22p4p3pd9	yes	(22-4) 3	TRES		Gut_passage	Captive	2019	Nestling				6/15/19	166		9																								
cap34p4p4pd9	yes	(34-4) 4	TRES		Gut_passage	Captive	2019	Nestling				6/17/19	168		9																								
cap64p4p5pd9	yes	(64-4) 5	TRES		Gut_passage	Captive	2019	Nestling				6/17/19	168		9																								
cap4p4p1pd10	yes	(4-4) 1	TRES		Gut_passage	Captive	2019	Nestling				6/16/19	167		10																								
cap12p4p2pd10	yes	(12-4) 2	TRES		Gut_passage	Captive	2019	Nestling				6/16/19	167		10																								
cap22p4p3pd10	yes	(22-4) 3	TRES		Gut_passage	Captive	2019	Nestling				6/16/19	167		10																								
cap34p4p4pd10	yes	(34-4) 4	TRES		Gut_passage	Captive	2019	Nestling				6/18/19	169		10																								
cap64p4p5pd10	yes	(64-4) 5	TRES		Gut_passage	Captive	2019	Nestling				6/18/19	169		10																								
cap4p4p1pd11	yes	(4-4) 1	TRES		Gut_passage	Captive	2019	Nestling				6/17/19	168		11																								
cap12p4p2pd11	yes	(12-4) 2	TRES		Gut_passage	Captive	2019	Nestling				6/17/19	168		11																								
cap22p4p3pd11	yes	(22-4) 3	TRES		Gut_passage	Captive	2019	Nestling				6/17/19	168		11																								
cap34p4p4pd11	yes	(34-4) 4	TRES		Gut_passage	Captive	2019	Nestling				6/19/19	170		11																								
cap64p4p5pd11	yes	(64-4) 5	TRES		Gut_passage	Captive	2019	Nestling				6/19/19	170		11																								
cap4p4p1pd12	yes	(4-4) 1	TRES		Gut_passage	Captive	2019	Nestling				6/18/19	169		12																								
cap12p4p2pd12	yes	(12-4) 2	TRES		Gut_passage	Captive	2019	Nestling				6/18/19	169		12																								
cap22p4p3pd12	yes	(22-4) 3	TRES		Gut_passage	Captive	2019	Nestling				6/18/19	169		12																								
cap34p4p4pd12	yes	(34-4) 4	TRES		Gut_passage	Captive	2019	Nestling				6/20/19	171		12																								
cap64p4p5pd12	yes	(64-4) 5	TRES		Gut_passage	Captive	2019	Nestling				6/20/19	171		12																								
	no	272106905	TRES	Ithaca	Liddell	39	2019	Adult	F	Light	Light_Control	5/21/19	141	1	ASY	19.5	28.6	112	B_S_D	0.17	0.47														M19N007	190007			Telomere sample may have a small amount of lysis buffer in it.
	no	272106905	TRES	Ithaca	Liddell	39	2019	Adult	F	Light	Light_Control	5/30/19	150	2	ASY				M																				Light File Name: 530
	no	272107018	TRES	Ithaca	Liddell	41	2019	Adult	F	Light	Light	5/30/19	150	2	ASY				M																				Light file name: 530
P19N005	no	272107018	TRES	Ithaca	Liddell	41	2019	Adult	F	Light	Light	5/21/19	141	1	ASY	23	28.7	110	B_S_D	5.85	6.18			62.49	66.08		Dex	10.5			10.5	11.1			M19N006	190006			
	no	281174297	TRES	Ithaca	Liddell	38	2020	Nestling		Antibiotic	oral_antibiotic	6/9/20	161	1	12	23.2			B_S_D	1.75	1.87			23.55	25.11		Dex	10.5			6.86	7.32		Fledged		200832			"red Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174298	TRES	Ithaca	Liddell	38	2020	Nestling		Antibiotic	oral_control	6/9/20	161	1	12	21.7			B_S_D	0.95	1.01			36.63	39.04		Dex	10			13.85	14.77		Fledged		200833			"yellow Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174299	TRES	Ithaca	Liddell	38	2020	Nestling		Antibiotic	transdermal_antibiotic	6/9/20	161	1	12	21.1			B_S_D	5.82	6.21			60.6	64.59		Dex	9.5			10.06	10.73		Fledged		200834			"green Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174300	TRES	Ithaca	Liddell	38	2020	Nestling		Antibiotic	transdermal_control	6/9/20	161	1	12	20.7			B_S_D	1.57	1.68			61.32	65.37		Dex	9.5			6.37	6.8		Fledged		200835			"blue Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174932	TRES	Ithaca	Liddell	38	2020	Nestling		Antibiotic	oral_control	6/9/20	161	1	12	21.7			B_S_D								Dex	10						Fledged		200836			"purple Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	278172415	TRES	Ithaca	Liddell	41	2019	Nestling	Unknown	Light	Light	6/9/19	160		12	12.12	21.5	27	B_S_D	5.04	6.26			4	4.97									Died		190225			
	no	278172426	TRES	Ithaca	Liddell	39	2019	Nestling	Unknown	Light	Light_Control	6/11/19	162		12	23	26.5	48	B_S_D	2.23	2.78			27.65	34.31		Dex	10.5			9.62	11.94		Fledged		190272			Telomere sample was left in the mini fridge over night.
P19N172	no	278172414	TRES	Ithaca	Liddell	41	2019	Nestling	Unknown	Light	Light	6/9/19	160		12	19.03	24.7	39.5	B_S_D	0.79	0.99			36.2	44.93		Dex	8.5			2.97	3.7		Fledged		190224			
P19N173	no	278172416	TRES	Ithaca	Liddell	41	2019	Nestling	Unknown	Light	Light	6/9/19	160		12	17.2	24.1	34	B_S_D	0.9	1.12			30.43	37.77		Dex	7.5			3.12	3.87		Died		190226			
P19N174	no	278172418	TRES	Ithaca	Liddell	41	2019	Nestling	Unknown	Light	Light	6/9/19	160		12	17.7	23.5	33	B_S_D	1.48	1.84			13.13	16.3		Dex	7.5			4.47	5.55		Fledged		190227			
P19N199	no	278172421	TRES	Ithaca	Liddell	39	2019	Nestling	Unknown	Light	Light_Control	6/11/19	162		12	22	26	51	B_S_D	0.49	0.61			23.58	29.27		Dex	10			8.69	10.79		Fledged		190267			Telomere sample was left in the mini fridge over night.
P19N200	no	278172422	TRES	Ithaca	Liddell	39	2019	Nestling	Unknown	Light	Light_Control	6/11/19	162		12	21	25	45	B_S_D	2.28	2.83			35.72	44.33		Dex	9.5			4.89	6.07		Fledged		190268			Telomere sample was left in the mini fridge over night.
P19N201	no	278172423	TRES	Ithaca	Liddell	39	2019	Nestling	Unknown	Light	Light_Control	6/11/19	162		12	23		48	B_S_D	4.5	5.59			32.52	40.36		Dex	10.5			7.62	9.46		Fledged		190269			"Telomere sample was left in the mini fridge over night.
Bill+Head written as 55.2 in data sheet."
P19N202	no	278172424	TRES	Ithaca	Liddell	39	2019	Nestling	Unknown	Light	Light_Control	6/11/19	162		12	22	24.8	50	B_S_D	1.66	2.07			29.83	37.02		Dex	10			9.77	12.13		Fledged		190270			Telomere sample was left in the mini fridge over night.
P19N203	no	278172425	TRES	Ithaca	Liddell	39	2019	Nestling	Unknown	Light	Light_Control	6/11/19	162		12	24	25.8	50	B_S_D	1.39	1.73			36.75	45.61		Dex	11			9.43	11.7		Fledged		190271			Telomere sample was left in the mini fridge over night.
	no	281174241	TRES	Ithaca	Thompson	5	2020	Nestling		Antibiotic	oral_antibiotic	6/18/20	170	1	12	21.4			B_S_D	1.41	1.51			17.41	18.56		Dex	9.5			3.23	3.45		Fledged		200793			"red Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174242	TRES	Ithaca	Thompson	5	2020	Nestling		Antibiotic	oral_control	6/18/20	170	1	12	22.2			B_S_D	3.32	3.54			38.31	40.84		Dex	10			5.66	6.04		Fledged		200794			"yellow Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174243	TRES	Ithaca	Thompson	5	2020	Nestling		Antibiotic	transdermal_antibiotic	6/18/20	170	1	12	22.1			B_S_D	1.56	1.67			60.05	64.01		Dex	10			12.43	13.25		Fledged		200795			"green Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174244	TRES	Ithaca	Thompson	5	2020	Nestling		Antibiotic	oral_control	6/18/20	170	1	12	23.5			B_S_D	5.61	5.98			23.04	24.57		Dex	11			6.37	6.8		Fledged		200796			"orange Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174245	TRES	Ithaca	Thompson	5	2020	Nestling		Antibiotic	transdermal_control	6/18/20	170	1	12	21.5			B_S_D	2.11	2.25			40.9	43.6		Dex	10			3.53	3.76		Fledged		200797			"blue Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174246	TRES	Ithaca	Thompson	5	2020	Nestling		Antibiotic	oral_antibiotic	6/18/20	170	1	12	23.9			B_S_D	2.31	2.46			5.2	5.55		Dex	11			24.1	25.69		Fledged		200798			"purple Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174247	TRES	Ithaca	Thompson	5	2020	Nestling		Antibiotic	transdermal_control	6/18/20	170	1	12	21.2			B_S_D	4.8	5.13			25.32	26.99		Dex	9.5			10.92	11.64		Fledged		200799			"black Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174248	TRES	Ithaca	Thompson	8	2020	Nestling		Antibiotic	oral_antibiotic	6/18/20	170	1	12	22.6			B_S_D	2.39	2.55			19.87	21.19		Dex	10.5			5.09	5.43		Fledged		200800			"red Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174249	TRES	Ithaca	Thompson	8	2020	Nestling		Antibiotic	oral_control	6/18/20	170	1	12	23.3			B_S_D	1.51	1.62			35.25	37.58		Dex	10.5			6.4	6.83		Fledged		200801			"yellow Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174250	TRES	Ithaca	Thompson	8	2020	Nestling		Antibiotic	transdermal_antibiotic	6/18/20	170	1	12	24.5			B_S_D	2.14	2.28			19.6	20.9		Dex	11.5			11.01	11.74		Fledged		200802			"green Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174251	TRES	Ithaca	Thompson	8	2020	Nestling		Antibiotic	transdermal_control	6/18/20	170	1	12	24.8			B_S_D	4.15	4.42			39.25	41.81		Dex	11.5			17.15	18.28		Fledged		200803			"blue Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174252	TRES	Ithaca	Thompson	8	2020	Nestling		Antibiotic	transdermal_antibiotic	6/18/20	170	1	12	23.7			B_S_D	5.36	5.72			62.58	66.7		Dex	11			11.41	12.16		Fledged		200804			"black Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174269	TRES	Ithaca	Thompson	44	2020	Nestling		Antibiotic	oral_antibiotic	6/19/20	171	1	12	23.8			B_S_D	1.64	1.75			37.08	39.53		Dex	11			2.59	2.77		Fledged		200805			"red Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174270	TRES	Ithaca	Thompson	44	2020	Nestling		Antibiotic	oral_control	6/19/20	171	1	12	25			B_S_D	2.16	2.31			6.21	6.63		Dex	11.5			3.55	3.79		Fledged		200806			"yellow Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174271	TRES	Ithaca	Thompson	44	2020	Nestling		Antibiotic	transdermal_antibiotic	6/19/20	171	1	12	23.6			B_S_D	0.88	0.95			30.1	32.09		Dex	11			4.13	4.41		Fledged		200807			"green Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174272	TRES	Ithaca	Thompson	44	2020	Nestling		Antibiotic	transdermal_control	6/19/20	171	1	12	21.8			B_S_D	1.42	1.51			11.97	12.76		Dex	10			2.99	3.2		Fledged		200808			"blue Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174273	TRES	Ithaca	Thompson	19	2020	Nestling		Antibiotic	oral_antibiotic	6/19/20	171	1	12	20			B_S_D	4.64	4.95			52.59	56.06		Dex	9			3.61	3.86		Fledged		200809			"red Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174274	TRES	Ithaca	Thompson	19	2020	Nestling		Antibiotic	oral_control	6/19/20	171	1	12	21.1			B_S_D	2.53	2.71			46.14	49.19		Dex	9.5			10.46	11.15		Fledged		200810			"yellow Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174275	TRES	Ithaca	Thompson	19	2020	Nestling		Antibiotic	transdermal_antibiotic	6/19/20	171	1	12	22.8			B_S_D	0.63	0.68			46.27	49.32		Dex	10.5			18.48	19.7		Fledged		200811			"green Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174276	TRES	Ithaca	Thompson	19	2020	Nestling		Antibiotic	transdermal_control	6/19/20	171	1	12	21.3			B_S_D	1.39	1.49			41.04	44.7		Dex	9.5			6.26	6.68		Fledged		200812			"blue Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174277	TRES	Ithaca	Thompson	19	2020	Nestling		Antibiotic	transdermal_control	6/19/20	171	1	12	22.2			B_S_D	1.54	1.64			42.51	45.32		Dex	10			7.27	7.75		Fledged		200813			"purple Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174280	TRES	Ithaca	Thompson	29	2020	Nestling		Antibiotic	oral_antibiotic	6/20/20	172	1	12	22.6			B_S_D	0.35	0.48			15.28	16.29		Dex	10.5			3.23	3.44		Fledged		200824			"red Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174281	TRES	Ithaca	Thompson	29	2020	Nestling		Antibiotic	transdermal_antibiotic	6/20/20	172	1	12	23.8			B_S_D	1.96	2.1			53.02	56.52		Dex	11			3.94	4.2		Fledged		200825			"green Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174282	TRES	Ithaca	Thompson	10	2020	Nestling		Antibiotic	oral_antibiotic	6/20/20	172	1	12	21.3			B_S_D	0.95	1.01			15.89	16.94		Dex	9.5			2.57	2.74		Fledged		200826			"red Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174283	TRES	Ithaca	Thompson	10	2020	Nestling		Antibiotic	oral_control	6/20/20	172	1	12	20			B_S_D	0.58	0.62			14.71	15.69		Dex	9			4.68	4.99		Fledged		200827			"yellow Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174284	TRES	Ithaca	Thompson	10	2020	Nestling		Antibiotic	transdermal_antibiotic	6/20/20	172	1	12	23.3			B_S_D	8.63	9.21			34.77	37.07		Dex	10.5			13.97	14.89		Fledged		200828			"green Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174285	TRES	Ithaca	Thompson	10	2020	Nestling		Antibiotic	transdermal_control	6/20/20	172	1	12	21.1			B_S_D	1.07	1.15			31.12	33.18		Dex	9.5			8.99	9.59		Fledged		200829			"blue Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174286	TRES	Ithaca	Thompson	10	2020	Nestling		Antibiotic	transdermal_antibiotic	6/20/20	172	1	12	21.3			B_S_D	4.09	4.37			45.74	48.76		Dex	9.5			4.7	5.01		Fledged		200830			"purple Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174287	TRES	Ithaca	Thompson	10	2020	Nestling		Antibiotic	oral_control	6/20/20	172	1	12	22.5			B_S_D	2.69	2.88			23.78	25.35		Dex	10.5			9.71	10.35		Fledged		200831			"black Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174919	TRES	Ithaca	Thompson	25	2020	Nestling		Antibiotic	transdermal_antibiotic	6/16/20	168	1	12	23.7			B_S_D	2.78	2.97			16.05	17.11		Dex	11			17.28	18.42		Fledged		200842			"green Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174920	TRES	Ithaca	Thompson	25	2020	Nestling		Antibiotic	oral_control	6/16/20	168	1	12	25.1			B_S_D	1.8	1.92			18.26	19.47		Dex	11.5			10.91	11.63		Fledged		200787			"yellow Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174921	TRES	Ithaca	Thompson	25	2020	Nestling		Antibiotic	oral_antibiotic	6/16/20	168	1	12	23.1			B_S_D	4.78	5.1			32.15	34.28		Dex	10.5			7.75	8.26		Fledged		200788			"red Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174922	TRES	Ithaca	Thompson	25	2020	Nestling		Antibiotic	transdermal_control	6/16/20	168	1	12	21.1			B_S_D	3.27	3.49			14.46	15.41		Dex	9.5			8.09	8.63		Fledged		200789			"black Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174923	TRES	Ithaca	Thompson	25	2020	Nestling		Antibiotic	oral_antibiotic	6/16/20	168	1	12	22.3			B_S_D	3.4	3.63			19.47	20.76		Dex	10			7.15	7.62		Fledged		200790			"purple Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174924	TRES	Ithaca	Thompson	25	2020	Nestling		Antibiotic	transdermal_control	6/16/20	168	1	12	23.7			B_S_D	1.89	2.02			40.4	43.06		Dex	11			8.75	9.33		Fledged		200791			"blue Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174930	TRES	Ithaca	Thompson	23	2020	Nestling		Antibiotic	transdermal_antibiotic	6/17/20	169	1	12	24.1			B_S_D	1.09	1.17			18.1	19.3		Dex	11			6.57	7.01		Fledged		200792			"green Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174978	TRES	Ithaca	Thompson	59	2020	Nestling		Antibiotic	oral_antibiotic	6/26/20	178	1	12	21.3			B_S_D	2.86	3.05			35.85	38.22		Dex	9.5			3.46	3.69		Fledged		200837			"red Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174979	TRES	Ithaca	Thompson	59	2020	Nestling		Antibiotic	oral_control	6/26/20	178	1	12	20.2			B_S_D	2.04	2.18			19.33	20.6		Dex	9			3.06	3.27		Fledged		200838			"yellow Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174980	TRES	Ithaca	Thompson	59	2020	Nestling		Antibiotic	transdermal_antibiotic	6/26/20	178	1	12	22.4			B_S_D	3.74	4			34.49	36.76		Dex	10			6.69	7.13		Fledged		200839			"green Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174981	TRES	Ithaca	Thompson	59	2020	Nestling		Antibiotic	transdermal_control	6/26/20	178	1	12	20.4			B_S_D	8.52	9.08			32.47	34.62		Dex	9			4.58	4.89		Fledged		200840			"blue Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174982	TRES	Ithaca	Thompson	59	2020	Nestling		Antibiotic	transdermal_antibiotic	6/26/20	178	1	12	21.6			B_S_D	1.43	1.53			26.89	28.67		Dex	10			5.89	6.28		Fledged		200841			"purple Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281128446	TRES	Ithaca	Thompson	5	2019	Nestling	Unknown			6/22/19	173		16	21.5	27.2	76																Unknown					
	no	281128447	TRES	Ithaca	Thompson	5	2019	Nestling	Unknown			6/22/19	173		16		26.9	75																Unknown					
	no	281128448	TRES	Ithaca	Thompson	4	2019	Nestling	Unknown			6/22/19	173		16	23.5	26.2	70																Unknown					
	no	281128449	TRES	Ithaca	Thompson	4	2019	Nestling	Unknown			6/22/19	173		16	22.5	27.7	78																Unknown					
	no	278172427	TRES	Ithaca	Turkey_Hill	51	2019	Adult	M	Light	Mate_Light_Control	6/12/19	163	1	AHY	20	27.9	121	B_S_D	6.39	6.76															190286			bolus: Yes
P19N184	no	278172420	TRES	Ithaca	Turkey_Hill	3	2019	Adult	M	Light	Mate_Light	6/10/19	161	1	AHY	21	29.3	119	B_S_D	1.67	1.77															190238			
P19N257	no	278172302	TRES	Ithaca	Turkey_Hill	86	2019	Adult	M	Light	Mate_Light_Control	6/14/19	165	1	AHY	18.75	28.7	119	B_S_D	3.05	3.23															190371			
	yes	272106655	TRES	Ithaca	Turkey_Hill	3	2019	Adult	F	Light	Light	6/11/19	162	3	ASY	18.25			B_S	7.79	8.24															190252		6134617F	
	yes	278172401	TRES	Ithaca	Turkey_Hill	106	2019	Adult	F	Light	Light	6/11/19	162	3	ASY	19.5			B_S	1.06	1.12															190253		61340066	
	yes	278172403	TRES	Ithaca	Turkey_Hill	121	2019	Adult	F	Light	Light_Control	6/11/19	162	3	ASY	20.5			B_S	2.83	3															190254		6134612D	
P19N021	yes	272106697	TRES	Ithaca	Turkey_Hill	11	2019	Adult	F	Light	Light_Control	5/25/19	145	1	ASY	21	27.9	117	B_S_D	0.99	1.05			28.13	29.75		Dex	9.5			11.47	12.13			M19N024	190028		61337F2D	"Egg Photo
Eye Button: D8B21
On female took old RFID to put life tag"
P19N026	yes	272106655	TRES	Ithaca	Turkey_Hill	3	2019	Adult	F	Light	Light	5/27/19	147	1	ASY	22	31.5	123	B_S_D	4.11	4.35			47.82	50.58		Dex	10			11.35	12			M19N031	190035		6134617F	egg photo
P19N027	yes	278172401	TRES	Ithaca	Turkey_Hill	106	2019	Adult	F	Light	Light	5/27/19	147	1	ASY	23	27.4	115	B_S_D	0.37	0.47			27.33	28.91		Dex	10.5			6.65	7.03			M19N032	190036		61340066	"egg photo, wing photo"
P19N056	yes	278172403	TRES	Ithaca	Turkey_Hill	121	2019	Adult	F	Light	Light_Control	5/29/19	149	1	ASY	21.5	28.4	114	B_S_D	4.51	4.77			36.88	39		Dex	9.5			9.47	10.02			M19N067	190074		6134612D	
P19N081	yes	272107842	TRES	Ithaca	Turkey_Hill	55	2019	Adult	F	Light	Light	5/31/19	151	1	ASY	23	28.2	114	B_S_D	0.04	0.47			41.21	43.58		Dex	10.5			7.57	8.01			M19N093	190100		61344C66	
